payer_id,first_name,last_name,date_of_birth,age,address,city,province,employment_status,annual_income_cad,marital_status
1,Elizabeth,Hall,1989-05-16,37,"3994 Jefferson St, Toronto, Ontario W3I 6W1",Toronto,Ontario,Unemployed,0,Divorced
2,Elizabeth,Collins,1989-11-01,37,"1132 King St, Ottawa, Ontario K2Y 3W4",Ottawa,Ontario,Part-time,22628,Single
3,Jennifer,Ramirez,1993-09-11,33,"6662 Franklin St, Ottawa, Ontario M4X 2Q1",Ottawa,Ontario,Unemployed,0,Single
4,Nicholas,Nguyen,1988-01-04,38,"1135 Church St, Victoria, British Columbia W9Z 5K6",Victoria,British Columbia,Unemployed,0,Divorced
5,George,Johnson,1983-08-28,43,"9703 King St, Edmonton, Alberta U2C 4A8",Edmonton,Alberta,Part-time,15669,Married
6,Michelle,Hernandez,1993-11-23,33,"2046 Queen St, Lethbridge, Alberta U1R 0W4",Lethbridge,Alberta,Unemployed,0,Divorced
7,Laura,Hernandez,1987-02-24,39,"3482 High St, Brampton, Ontario M0L 1A0",Brampton,Ontario,Unemployed,0,Married
8,Jacob,Gomez,1998-08-08,28,"199 Smith St, Hamilton, Ontario A1Q 1P2",Hamilton,Ontario,Unemployed,0,Divorced
9,Patricia,Bailey,2005-08-21,21,"2065 Queen St, Victoria, British Columbia C4J 3Z8",Victoria,British Columbia,Full-time,66689,Divorced
10,Ashley,Reyes,1996-12-07,30,"9234 Spring St, London, Ontario H1Z 8U0",London,Ontario,Part-time,24657,Widowed
11,Richard,Moore,2003-12-03,23,"2130 Elm St, Ottawa, Ontario N0U 6D7",Ottawa,Ontario,Full-time,64745,Widowed
12,Samuel,Scott,2006-05-03,20,"5447 Elm St, London, Ontario V7W 3H2",London,Ontario,Part-time,19333,Married
13,Rachel,Mitchell,1988-01-10,38,"6562 School St, Brampton, Ontario N5B 1O2",Brampton,Ontario,Full-time,49191,Single
14,James,Thomas,2007-09-11,19,"1489 First Ave, Red Deer, Alberta J1T 2F3",Red Deer,Alberta,Part-time,24443,Single
15,Frank,Moore,1990-07-24,36,"6626 Church St, Hamilton, Ontario N8G 0A2",Hamilton,Ontario,Full-time,65689,Married
16,Sharon,Thompson,2002-10-06,24,"4484 Franklin St, Lethbridge, Alberta Q7Q 0Q8",Lethbridge,Alberta,Full-time,73445,Common-law
17,Christopher,Clark,2007-09-21,19,"5938 King St, London, Ontario K0S 7P0",London,Ontario,Part-time,23321,Divorced
18,Betty,Murphy,1989-07-20,37,"432 Church St, Hamilton, Ontario Q3D 0T5",Hamilton,Ontario,Full-time,43087,Married
19,Matthew,Torres,1994-03-13,32,"2508 Wilson Ave, Hamilton, Ontario K9M 8V3",Hamilton,Ontario,Full-time,71355,Married
20,Mary,Hall,1992-11-08,34,"6082 Washington Ave, Calgary, Alberta Y0L 2L1",Calgary,Alberta,Unemployed,0,Divorced
21,Karen,Lopez,1987-02-04,39,"7233 King St, Montreal, Quebec G6X 8T3",Montreal,Quebec,Unemployed,0,Widowed
22,Kelly,Perez,1987-08-26,39,"7858 Jackson St, Calgary, Alberta I6Z 2W2",Calgary,Alberta,Part-time,20080,Married
23,Nicholas,Hall,1986-08-15,40,"7865 Church St, Victoria, British Columbia E0Y 8P2",Victoria,British Columbia,Full-time,48168,Widowed
24,Amanda,Taylor,1990-09-09,36,"5411 Church St, Red Deer, Alberta R7V 3I3",Red Deer,Alberta,Full-time,41122,Single
25,Jason,Brown,2001-01-28,25,"1774 Wilson Ave, Toronto, Ontario X5Z 5V7",Toronto,Ontario,Part-time,17979,Single
26,Kelly,Ramirez,1984-08-08,42,"2745 Adams St, Burnaby, British Columbia F1X 0G8",Burnaby,British Columbia,Full-time,42382,Widowed
27,Gregory,Moore,1985-10-05,41,"609 Cedar Ave, Brandon, Manitoba U8G 8F2",Brandon,Manitoba,Part-time,23467,Divorced
28,Kimberly,Murphy,2006-08-28,20,"3210 Lincoln Ave, Quebec City, Quebec N8N 5I1",Quebec City,Quebec,Unemployed,0,Widowed
29,Sharon,Hernandez,1989-12-18,37,"6653 King St, Burnaby, British Columbia L9G 7L9",Burnaby,British Columbia,Unemployed,0,Single
30,Sandra,Peterson,1995-08-02,31,"5706 Lincoln Ave, Hamilton, Ontario D2Q 4Y6",Hamilton,Ontario,Unemployed,0,Single
31,Helen,Morris,1996-01-01,30,"7764 Maple Ave, Red Deer, Alberta I5B 8J8",Red Deer,Alberta,Unemployed,0,Divorced
32,Jason,Phillips,1997-10-18,29,"3687 Queen St, Toronto, Ontario Z2C 7Q4",Toronto,Ontario,Unemployed,0,Divorced
33,Mary,Morgan,1985-01-08,41,"4444 Queen St, Burnaby, British Columbia K6Y 4J1",Burnaby,British Columbia,Unemployed,0,Married
34,Sandra,Morris,2008-12-08,18,"627 Washington Ave, Vancouver, British Columbia J9A 3G0",Vancouver,British Columbia,Full-time,57485,Widowed
35,Laura,Nguyen,1984-10-10,42,"3043 Washington Ave, Toronto, Ontario H3F 4X7",Toronto,Ontario,Full-time,43118,Single
36,Donna,Gomez,2001-02-19,25,"3745 Wilson Ave, Mississauga, Ontario K3X 8U2",Mississauga,Ontario,Unemployed,0,Divorced
37,George,Green,1985-12-16,41,"100 Jefferson St, Calgary, Alberta B8T 7N5",Calgary,Alberta,Part-time,24454,Common-law
38,Steven,Anderson,1999-06-05,27,"9620 Jefferson St, Calgary, Alberta U6R 8J7",Calgary,Alberta,Part-time,16011,Common-law
39,Sandra,Thomas,2002-11-08,24,"7243 Pine St, Victoria, British Columbia K5G 8V9",Victoria,British Columbia,Part-time,19504,Single
40,Stephen,Lopez,1986-08-23,40,"5499 Pine St, Red Deer, Alberta B2A 7Q6",Red Deer,Alberta,Full-time,56036,Married
41,Scott,Sanchez,1999-05-16,27,"2221 Park Ave, Burnaby, British Columbia E0D 6E9",Burnaby,British Columbia,Part-time,15651,Single
42,Jeffrey,Cruz,1989-11-10,37,"9751 Main St, Quebec City, Quebec Q1E 3A6",Quebec City,Quebec,Unemployed,0,Widowed
43,Jason,Gutierrez,1988-02-08,38,"5430 Park Ave, Laval, Quebec X8Q 2Q0",Laval,Quebec,Unemployed,0,Divorced
44,Timothy,Taylor,1985-05-29,41,"2399 Wilson Ave, Hamilton, Ontario B5U 5T3",Hamilton,Ontario,Full-time,68874,Divorced
45,Edward,Martin,1995-07-24,31,"1855 First Ave, London, Ontario K1W 7C6",London,Ontario,Unemployed,0,Single
46,Justin,Martin,1989-08-02,37,"9352 Oak St, Surrey, British Columbia D6J 5U5",Surrey,British Columbia,Unemployed,0,Common-law
47,Thomas,Moore,1986-11-11,40,"7989 Lincoln Ave, Laval, Quebec Q4J 8H4",Laval,Quebec,Part-time,21617,Married
48,Daniel,Hall,2002-07-09,24,"5440 King St, Montreal, Quebec L4Z 2U3",Montreal,Quebec,Part-time,24910,Widowed
49,Jessica,Morris,1988-02-24,38,"8490 Oak St, Quebec City, Quebec X3W 5Q8",Quebec City,Quebec,Full-time,58262,Common-law
50,Mary,Ramirez,1999-01-01,27,"9429 School St, Laval, Quebec J7Y 6N0",Laval,Quebec,Part-time,17231,Married
51,Stephanie,Lewis,2007-02-18,19,"7868 First Ave, Montreal, Quebec F1K 2F1",Montreal,Quebec,Unemployed,0,Single
52,Jonathan,Hernandez,2000-11-10,26,"9053 Wilson Ave, Red Deer, Alberta Z3Y 9I5",Red Deer,Alberta,Unemployed,0,Common-law
53,Mark,Lopez,1993-05-21,33,"5699 Jackson St, Winnipeg, Manitoba Z8K 9O2",Winnipeg,Manitoba,Full-time,71485,Widowed
54,Betty,Roberts,2003-11-09,23,"3318 Adams St, Brandon, Manitoba I1F 5F0",Brandon,Manitoba,Part-time,18413,Common-law
55,Laura,Carter,2008-09-23,18,"3671 Spring St, Toronto, Ontario Q7X 8Y7",Toronto,Ontario,Full-time,60088,Divorced
56,Kenneth,Johnson,1996-09-29,30,"7144 Cedar Ave, Toronto, Ontario S8X 6K9",Toronto,Ontario,Full-time,53493,Widowed
57,Jason,Phillips,1998-05-10,28,"5718 Washington Ave, Victoria, British Columbia I8T 9H2",Victoria,British Columbia,Part-time,21897,Single
58,Jennifer,Perez,1986-10-23,40,"5204 Smith St, Brampton, Ontario A9L 5N3",Brampton,Ontario,Unemployed,0,Common-law
59,Sharon,Murphy,1985-09-26,41,"7074 Pine St, Laval, Quebec M5T 0D8",Laval,Quebec,Part-time,18892,Married
60,Edward,Allen,1998-05-25,28,"1362 Smith St, Victoria, British Columbia D2C 4A9",Victoria,British Columbia,Full-time,70284,Married
61,Catherine,Murphy,1986-08-04,40,"2652 Water St, Victoria, British Columbia Q7F 8E2",Victoria,British Columbia,Part-time,22862,Single
62,Robert,Jackson,2004-11-30,22,"2735 High St, Vancouver, British Columbia L6P 3B4",Vancouver,British Columbia,Part-time,24257,Married
63,Ashley,Edwards,1998-07-09,28,"1009 Adams St, Victoria, British Columbia J5I 2Y5",Victoria,British Columbia,Part-time,20467,Divorced
64,Karen,Nguyen,1984-10-09,42,"8724 Johnson St, Brampton, Ontario P7A 9Q5",Brampton,Ontario,Full-time,54483,Widowed
65,Andrew,Carter,1993-09-13,33,"1823 Smith St, Lethbridge, Alberta Y9I 7F3",Lethbridge,Alberta,Part-time,19519,Single
66,Nicole,Peterson,1991-07-12,35,"8765 Second Ave, Victoria, British Columbia J1O 9L7",Victoria,British Columbia,Full-time,40503,Divorced
67,Nicole,Diaz,1984-07-23,42,"9225 Oak St, Red Deer, Alberta J4R 0H8",Red Deer,Alberta,Unemployed,0,Married
68,Sharon,Ramirez,1997-10-15,29,"5918 King St, Lethbridge, Alberta F4X 1V2",Lethbridge,Alberta,Unemployed,0,Divorced
69,Richard,Allen,1992-05-07,34,"8981 Wilson Ave, London, Ontario F0W 6E5",London,Ontario,Unemployed,0,Widowed
70,Laura,Mitchell,1999-06-23,27,"2252 High St, Mississauga, Ontario I6H 3R4",Mississauga,Ontario,Full-time,54171,Single
71,Justin,Lopez,2004-11-26,22,"4563 Clinton St, Brandon, Manitoba Y1N 5H7",Brandon,Manitoba,Part-time,15088,Married
72,Jennifer,Garcia,2001-11-13,25,"2326 Franklin St, Lethbridge, Alberta B7X 9W5",Lethbridge,Alberta,Full-time,71192,Common-law
73,Rachel,Baker,2008-08-19,18,"7063 Jackson St, Winnipeg, Manitoba J6M 7N1",Winnipeg,Manitoba,Full-time,64089,Single
74,Nicholas,Hall,1997-10-15,29,"1396 Water St, Calgary, Alberta W1H 2P9",Calgary,Alberta,Part-time,19155,Married
75,Deborah,Thomas,1987-08-11,39,"2182 Church St, Steinbach, Manitoba M0C 6T4",Steinbach,Manitoba,Full-time,44024,Divorced
76,Donna,Anderson,2007-08-25,19,"6257 Park Ave, Brampton, Ontario N3B 3X2",Brampton,Ontario,Full-time,63698,Widowed
77,William,Roberts,1986-05-13,40,"6834 Queen St, Quebec City, Quebec J0O 6B6",Quebec City,Quebec,Unemployed,0,Widowed
78,Lisa,Diaz,1985-03-16,41,"793 Church St, Ottawa, Ontario Q7Z 0C8",Ottawa,Ontario,Unemployed,0,Common-law
79,Robert,Gutierrez,1996-12-22,30,"303 Lincoln Ave, Steinbach, Manitoba Q3B 0A5",Steinbach,Manitoba,Full-time,48570,Common-law
80,Christina,Roberts,1988-04-15,38,"9568 Main St, London, Ontario Z6S 1M0",London,Ontario,Unemployed,0,Divorced
81,Eric,Anderson,1995-11-07,31,"1692 Main St, Montreal, Quebec U2Y 2T1",Montreal,Quebec,Full-time,43159,Married
82,Kevin,Evans,2002-01-30,24,"2307 Spring St, Toronto, Ontario F9X 4U1",Toronto,Ontario,Unemployed,0,Widowed
83,Sandra,Collins,2002-01-09,24,"3240 Adams St, Edmonton, Alberta N9K 1W3",Edmonton,Alberta,Part-time,20407,Common-law
84,Melissa,Morris,1991-09-08,35,"9149 Jefferson St, Red Deer, Alberta H4T 8N9",Red Deer,Alberta,Unemployed,0,Widowed
85,Edward,Torres,2008-12-16,18,"6641 Mill St, Brampton, Ontario O0S 6A2",Brampton,Ontario,Part-time,24919,Divorced
86,Ashley,Turner,2007-12-30,19,"8686 School St, Winnipeg, Manitoba T4A 4D0",Winnipeg,Manitoba,Full-time,59630,Divorced
87,Ryan,Walker,1988-04-01,38,"9972 Washington Ave, Quebec City, Quebec Z0E 5A3",Quebec City,Quebec,Full-time,58787,Divorced
88,Benjamin,Mitchell,1996-01-06,30,"6510 Cedar Ave, Montreal, Quebec Z2T 4Q8",Montreal,Quebec,Part-time,16499,Divorced
89,Gregory,Cook,1990-07-20,36,"1449 Spring St, Red Deer, Alberta Q8A 3L4",Red Deer,Alberta,Part-time,15953,Divorced
